Algoritmo,Tamano,Distribucion,Repeticion,Time_ms,Comparaciones,Swaps_Moves,Estable
Merge,500,Uniforme,1,0.0820,3863,8976,SI
Radix,500,Uniforme,1,0.0240,NA,5000,SI
Timsort,500,Uniforme,1,0.0350,6303,8853,SI
Insertion,500,Uniforme,2,0.0700,63544,64052,SI
Merge,500,Uniforme,2,0.0710,3860,8976,SI
Radix,500,Uniforme,2,0.0310,NA,5000,SI
Timsort,500,Uniforme,2,0.0350,6353,8907,SI
Insertion,500,Uniforme,3,0.1560,63688,64192,SI
Merge,500,Uniforme,3,0.0770,3858,8976,SI
Radix,500,Uniforme,3,0.0460,NA,5000,SI
Timsort,500,Uniforme,3,0.0350,6101,8659,SI
Insertion,500,Ordenado,1,0.0020,499,998,SI
Merge,500,Ordenado,1,0.0290,2272,8976,SI
Radix,500,Ordenado,1,0.0130,NA,3000,SI
Timsort,500,Ordenado,1,0.0050,1508,4968,SI
Insertion,500,Ordenado,2,0.0020,499,998,SI
Merge,500,Ordenado,2,0.0370,2272,8976,SI
Radix,500,Ordenado,2,0.0160,NA,3000,SI
Timsort,500,Ordenado,2,0.0060,1508,4968,SI
Insertion,500,Ordenado,3,0.0020,499,998,SI
Merge,500,Ordenado,3,0.0320,2272,8976,SI
Radix,500,Ordenado,3,0.0130,NA,3000,SI
Timsort,500,Ordenado,3,0.0040,1508,4968,SI
Insertion,500,Reverso,1,0.1490,124750,125748,SI
Merge,500,Reverso,1,0.0290,2216,8976,SI
Radix,500,Reverso,1,0.0150,NA,3000,SI
Timsort,500,Reverso,1,0.0150,8606,12598,SI
Insertion,500,Reverso,2,0.1280,124750,125748,SI
Merge,500,Reverso,2,0.0320,2216,8976,SI
Radix,500,Reverso,2,0.0160,NA,3000,SI
Timsort,500,Reverso,2,0.0140,8606,12598,SI
Insertion,500,Reverso,3,0.1830,124750,125748,SI
Merge,500,Reverso,3,0.0340,2216,8976,SI
Radix,500,Reverso,3,0.0290,NA,3000,SI
Timsort,500,Reverso,3,0.0140,8606,12598,SI
Insertion,500,Casi_Ordenado,1,0.0170,8928,9427,SI
Merge,500,Casi_Ordenado,1,0.0430,3425,8976,SI
Radix,500,Casi_Ordenado,1,0.0150,NA,3000,SI
Timsort,500,Casi_Ordenado,1,0.0150,2982,5673,SI
Insertion,500,Casi_Ordenado,2,0.0160,9320,9819,SI
Merge,500,Casi_Ordenado,2,0.0420,3396,8976,SI
Radix,500,Casi_Ordenado,2,0.0160,NA,3000,SI
Timsort,500,Casi_Ordenado,2,0.0130,3044,5659,SI
Insertion,500,Casi_Ordenado,3,0.0150,7472,7971,SI
Merge,500,Casi_Ordenado,3,0.0460,3434,8976,SI
Radix,500,Casi_Ordenado,3,0.0170,NA,3000,SI
Timsort,500,Casi_Ordenado,3,0.0150,2903,5555,SI
Insertion,500,Duplicados,1,0.0920,47662,48161,SI
Merge,500,Duplicados,1,0.0580,3668,8976,SI
Radix,500,Duplicados,1,0.0060,NA,1000,SI
Timsort,500,Duplicados,1,0.0260,5465,8159,SI
Insertion,500,Duplicados,2,0.0950,51105,51606,SI
Merge,500,Duplicados,2,0.0550,3684,8976,SI
Radix,500,Duplicados,2,0.0060,NA,1000,SI
Timsort,500,Duplicados,2,0.0210,5533,8205,SI
Insertion,500,Duplicados,3,0.0670,48790,49291,SI
Merge,500,Duplicados,3,0.0470,3678,8976,SI
Radix,500,Duplicados,3,0.0050,NA,1000,SI
Timsort,500,Duplicados,3,0.0210,5403,8083,SI
